ID;Start time;Completion time;Email;Name;Já possui equipe?;Qual o nome da equipe?;Nome do líder da equipe;Email do líder da equipe;Matrícula do líder da equipe;Curso do líder do grupo?;Nome do participante (1);Email do participante (1);Matrícula do participante (1);Curso do participante (1);Nome do participante (2);Email do participante (2);Matrícula do participante (2);Curso do participante (2);Nome do participante 3;Email do participante 3;Matrícula do participante 3;Curso do participante 3;Nome do participante 4;Email do participante 4;Matrícula do participante 4;Curso do participante 4;Nome do participante 5;Email do participante 5;Matrícula do participante 5;Curso do participante 5;"Qual o nome da equipe que você deseja ingressar?
  ** O nome deve ser IGUAL ao nome cadastrado pelo líder da equipe";Qual o seu nome completo?;Qual o seu email?;Qual a sua matrícula?;Qual o seu curso?;Qual o seu nome completo?2;Qual o seu email?2;Qual a sua matrícula?2;Qual o seu curso?2
4;4/26/23 21:51:52;4/26/23 21:53:38;anonymous;;Não, vou encontrar uma equipe na hora.;;;;;;;;;;;;;;;;;;;;;;;;16394940;;69045-191;LUCAS MARQUES CARDOSO;lucas@lucas.com.br;21967261;Engenharia de Software;;;;
5;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;19239346;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;23695325;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;16594595;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;20505896;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;16003394;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;21333650;Ciência de Dados e Inteligência Artificial;;;;;;;;;
6;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;23757565;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;16977045;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;21442951;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;15994796;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;23052134;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;15366820;Ciência de Dados e Inteligência Artificial;;;;;;;;;
7;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;16205152;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;17911789;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;20066871;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;23042523;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;20822208;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;22979551;Ciência de Dados e Inteligência Artificial;;;;;;;;;
8;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;16111397;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;18808978;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;15273949;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;17179354;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;22464665;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;18566418;Ciência de Dados e Inteligência Artificial;;;;;;;;;
9;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;24232675;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;22556008;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;18792502;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;18364808;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;19902739;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;18198209;Ciência de Dados e Inteligência Artificial;;;;;;;;;
10;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;22231529;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;24835028;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;19319210;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;22639228;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;19022364;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;24564146;Ciência de Dados e Inteligência Artificial;;;;;;;;;
11;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;20918013;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;20635599;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;22684602;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;23467356;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;19601147;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;19238258;Ciência de Dados e Inteligência Artificial;;;;;;;;;
12;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;16155375;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;24920940;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;22756410;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;18511086;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;15661782;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;23516590;Ciência de Dados e Inteligência Artificial;;;;;;;;;
13;4/26/23 21:56:50;4/26/23 21:59:53;anonymous;;Sim, estou cadastrando a equipe!;Kraken;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;18332061;Sistemas de Informação;LUCAS ANDRADE NASCIMENTO;LUCAS@NASCIMENTO.com;18096929;Engenharia de Software;MARCIA ANDRADE NASCIMENTO;MARCIA@NASCIMENTO.com.br;19234638;Engenharia de Software;MARCOS MENDES NASCIMENTO;MARCOS@NASCIMENTO.com.br;19429044;Ciência da Computação;FRANCISCO CAMPOS NUNES;FRANCISCOCAMPOSNUNES@gmail.com;18636314;Engenharia da Computação;ADRIANA CAMPOS NUNES;ADRIANACAMPOSNUNES@gmail.com;20810963;Ciência de Dados e Inteligência Artificial;;;;;;;;;
